"played_at"             "id"	"amount"
"2023-09-27 22:56:41"	1	    -0.02
"2023-09-27 22:57:21"	2	    -0.01
"2023-09-27 22:58:09"	3	    -0.04
"2023-09-27 22:58:38"	4	    0
"2023-09-27 22:59:28"	5	    -0.02
"2023-09-27 23:00:26"	6	    -0.01
"2023-09-27 23:00:49"	7	    0.40
"2023-09-27 23:02:22"	8	    -0.02
"2023-09-27 23:03:22"	9	    0
"2023-09-27 23:04:06"	10	    0
"2023-09-27 23:04:33"	11	    0.00
"2023-09-27 23:05:04"	12	    0.00
"2023-09-27 23:05:51"	13	    -0.08
"2023-09-27 23:06:35"	14	    -0.01
"2023-09-27 23:06:57"	15	    -0.06
"2023-09-27 23:07:30"	16	    0.33
"2023-09-27 23:08:03"	17	    0
"2023-09-27 23:08:27"	18	    0.00
"2023-09-27 23:08:39"	19	    -0.04
"2023-09-27 23:09:44"	20	    -0.01
